":@computed_region_43wa_7qmu",":@computed_region_6mkv_f3dw",":@computed_region_awaf_s7ux",":@computed_region_bdys_3d7i",":@computed_region_d3ds_rm58",":@computed_region_d9mm_jgwp",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k","arrest","beat","block","case_number","community_area","date","description","district","domestic","fbi_code","id","iucr","latitude","location","location_address","location_city","location_description","location_state","location_zip","longitude","primary_type","updated_on","ward","x_coordinate","y_coordinate","year"
"5","21853","3","49","39","11","9","10","false","2431","016XX W PRATT BLVD","JB249085","1","2018-05-03T23:56:00.000","DOMESTIC BATTERY SIMPLE","024","true","08B","11304271","0486","42.005363923","POINT (-87.671437643 42.005363923)",,,"APARTMENT",,,"-87.671437643","BATTERY","2018-05-10T15:48:24.000","49","1164147","1945240","2018"
"23","21572","36","716","143","16","30","27","false","1131","004XX S KOSTNER AVE","JB249089","26","2018-05-03T23:55:00.000","OVER $500","011","false","06","11304202","0810","41.874850606","POINT (-87.735272577 41.874850606)",,,"GAS STATION",,,"-87.735272577","THEFT","2018-05-10T15:48:24.000","24","1147129","1897553","2018"
"24","4451","46","538","55","2","14","76","false","2012","016XX W ROSEHILL DR","JB249087","77","2018-05-03T23:51:00.000","AGGRAVATED: HANDGUN","020","false","04A","11304205","051A","41.986737484","POINT (-87.670681646 41.986737484)",,,"STREET",,,"-87.670681646","ASSAULT","2018-05-10T15:48:24.000","40","1164405","1938454","2018"
"45","22615","4","596","145","6","2","26","false","2532","017XX N LOCKWOOD AVE","JB251165","25","2018-05-03T23:50:00.000","DOMESTIC BATTERY SIMPLE","025","true","08B","11305660","0486","41.911762479","POINT (-87.758187661 41.911762479)",,,"RESIDENTIAL YARD (FRONT/BACK)",,,"-87.758187661","BATTERY","2018-05-10T15:48:24.000","37","1140798","1910961","2018"
"46","21184","48","89","139","15","28","29","false","1225","022XX W JACKSON BLVD","JB249081","28","2018-05-03T23:40:00.000","DOMESTIC BATTERY SIMPLE","012","true","08B","11304157","0486","41.877583601","POINT (-87.683208224 41.877583601)",,,"CHA APARTMENT",,,"-87.683208224","BATTERY","2018-05-10T15:48:24.000","2","1161301","1898652","2018"
"23","21572","11","39","86","16","30","28","false","1124","033XX W MADISON ST","JB249073","27","2018-05-03T23:35:00.000","AGGRAVATED:KNIFE/CUTTING INSTR","011","true","04A","11304209","0520","41.88093572","POINT (-87.709180346 41.88093572)",,,"STREET",,,"-87.709180346","ASSAULT","2018-05-10T15:48:24.000","28","1154219","1899821","2018"
"41","22535","10","351","190","7","1","23","false","1422","018XX N ST LOUIS AVE","JB249067","22","2018-05-03T23:33:00.000","DOMESTIC BATTERY SIMPLE","014","true","08B","11304188","0486","41.914053876","POINT (-87.713865495 41.914053876)",,,"RESIDENCE",,,"-87.713865495","BATTERY","2018-05-10T15:48:24.000","26","1152856","1911880","2018"
"26","14920","48","96","150","15","43","29","false","1233","013XX W 15TH ST","JB250018","28","2018-05-03T23:30:00.000","FORCIBLE ENTRY","012","false","05","11304882","0610","41.861559271","POINT (-87.65976218 41.861559271)",,,"GOVERNMENT BUILDING/PROPERTY",,,"-87.65976218","BURGLARY","2018-05-10T15:48:24.000","2","1167732","1892862","2018"
"37","22538","43","245","225","19","24","39","false","0421","024XX E 77TH ST","JB249065","43","2018-05-03T23:30:00.000","DOMESTIC BATTERY SIMPLE","004","true","08B","11304135","0486","41.755367287","POINT (-87.565782465 41.755367287)",,,"STREET",,,"-87.565782465","BATTERY","2018-05-10T15:48:24.000","7","1193678","1854381","2018"
"16","4451","40","13","42","2","14","76","false","2022","059XX N KENMORE AVE","JB249071","77","2018-05-03T23:30:00.000","AGGRAVATED:KNIFE/CUTTING INSTR","020","false","04A","11304142","0520","41.989474782","POINT (-87.656796835 41.989474782)",,,"APARTMENT",,,"-87.656796835","ASSAULT","2018-05-10T15:48:24.000","48","1168172","1939481","2018"
"42","22212","33","378","257","9","13","74","false","2212","113XX S CHURCH ST","JB249355","75","2018-05-03T23:30:00.000","AUTOMOBILE","022","false","07","11304452","0910","41.68801045","POINT (-87.667360199 41.68801045)",,,"STREET",,,"-87.667360199","MOTOR VEHICLE THEFT","2018-05-10T15:48:24.000","19","1166152","1829606","2018"
"45","4299","4","99","68","16","5","24","false","1111","008XX N KEELER AVE","JB249059","23","2018-05-03T23:22:00.000","AGGRAVATED: HANDGUN","011","false","04B","11304251","041A","41.895734086","POINT (-87.731026471 41.895734086)",,,"STREET",,,"-87.731026471","BATTERY","2018-05-10T15:48:24.000","37","1148232","1905171","2018"
"31","22257","17","433","7","17","23","65","false","0734","071XX S ASHLAND AVE","JB249083","67","2018-05-03T23:20:00.000","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","007","true","04B","11304172","0496","41.764682386","POINT (-87.663785792 41.764682386)",,,"SIDEWALK",,,"-87.663785792","BATTERY","2018-05-10T15:48:24.000","17","1166911","1857552","2018"
"3","22257","44","274","270","17","23","65","false","0715","057XX S HOYNE AVE","JB249058","67","2018-05-03T23:18:00.000","DOMESTIC BATTERY SIMPLE","007","true","08B","11304132","0486","41.789545644","POINT (-87.676614358 41.789545644)",,,"RESIDENCE",,,"-87.676614358","BATTERY","2018-05-10T15:48:24.000","15","1163342","1866585","2018"
"50","21869","20","129","58","12","48","11","true","1623","050XX W AINSLIE ST","JB249060","11","2018-05-03T23:16:00.000","DOMESTIC BATTERY SIMPLE","016","true","08B","11304178","0486","41.969780728","POINT (-87.753804941 41.969780728)",,,"RESIDENCE",,,"-87.753804941","BATTERY","2018-05-10T15:48:24.000","45","1141848","1932111","2018"
"20","21538","2","214","13","1","39","16","false","1724","043XX N MOZART ST","JB250883","16","2018-05-03T23:10:00.000","OVER $500","017","false","06","11305929","0810","41.96012588","POINT (-87.699653952 41.96012588)",,,"STREET",,,"-87.699653952","THEFT","2018-05-10T15:48:24.000","33","1156600","1928697","2018"
"37","22538","43","245","225","19","24","39","false","0421","076XX S KINGSTON AVE","JB249054","43","2018-05-03T23:05:00.000","SIMPLE","004","true","08A","11304173","0560","41.756710512","POINT (-87.562691493 41.756710512)",,,"STREET",,,"-87.562691493","ASSAULT","2018-05-10T15:48:24.000","7","1194517","1854878","2018"
"21","22254","52","81","179","6","52","19","false","2511","061XX W NELSON ST","JB249136","19","2018-05-03T23:03:00.000","FINANCIAL IDENTITY THEFT $300 AND UNDER","025","false","11","11304204","1154","41.935662861","POINT (-87.779579966 41.935662861)",,,"RESIDENCE",,,"-87.779579966","DECEPTIVE PRACTICE","2018-05-10T15:48:24.000","29","1134919","1919632","2018"
"31","22257","17","433","7","17","23","65","true","0735","016XX W 73RD ST","JB249077","67","2018-05-03T23:01:00.000","POSS: CANNABIS MORE THAN 30GMS","007","false","18","11304149","1812","41.761254987","POINT (-87.665239896 41.761254987)",,,"STREET",,,"-87.665239896","NARCOTICS","2018-05-10T15:48:24.000","17","1166524","1856300","2018"
,,,,,,,,"false","0423","088XX S ESCANABA AVE","JB249048","46","2018-05-03T23:00:00.000","AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY","004","true","04B","11307032","0498",,,,,"APARTMENT",,,,"BATTERY","2018-05-10T15:48:24.000","10",,,"2018"
"10","14913","48","368","144","22","35","38","false","0123","011XX S MICHIGAN AVE","JB249290","32","2018-05-03T23:00:00.000","AUTOMOBILE","001","false","07","11304336","0910","41.868518128","POINT (-87.624113021 41.868518128)",,,"RESIDENCE-GARAGE",,,"-87.624113021","MOTOR VEHICLE THEFT","2018-05-10T15:48:24.000","2","1177422","1895476","2018"
"37","21202","43","478","234","19","25","42","false","0422","079XX S ESSEX AVE","JB249954","46","2018-05-03T23:00:00.000","FORCIBLE ENTRY","004","false","05","11305017","0610","41.751281494","POINT (-87.563800882 41.751281494)",,,"APARTMENT",,,"-87.563800882","BURGLARY","2018-05-10T15:48:24.000","7","1194232","1852897","2018"
"34","21190","51","271","134","14","16","68","false","1814","017XX N CLARK ST","JB250822","7","2018-05-03T23:00:00.000","AUTOMOBILE","018","false","07","11305452","0910","41.91455668","POINT (-87.633707216 41.91455668)",,,"STREET",,,"-87.633707216","MOTOR VEHICLE THEFT","2018-05-10T15:48:24.000","43","1174672","1912231","2018"
"33","21192","32","440","124","24","10","8","false","0233","053XX S COTTAGE GROVE AVE","JB250921","41","2018-05-03T23:00:00.000","OTHER VEHICLE OFFENSE","002","false","26","11305522","5002","41.797936811","POINT (-87.606301777 41.797936811)",,,"STREET",,,"-87.606301777","OTHER OFFENSE","2018-05-10T15:48:24.000","5","1182491","1869797","2018"
"32","21546","31","406","235","20","59","40","false","0631","081XX S STATE ST","JB249288","44","2018-05-03T23:00:00.000","TO VEHICLE","006","false","14","11304328","1320","41.746341973","POINT (-87.62440393 41.746341973)",,,"VEHICLE NON-COMMERCIAL",,,"-87.62440393","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","6","1177710","1850955","2018"
"9","14924","12","84","117","23","37","59","false","0935","053XX S LOWE AVE","JB249114","61","2018-05-03T23:00:00.000","HARASSMENT BY TELEPHONE","009","true","26","11304207","2825","41.797095374","POINT (-87.641580134 41.797095374)",,,"RESIDENCE",,,"-87.641580134","OTHER OFFENSE","2018-05-10T15:48:24.000","3","1172874","1869411","2018"
"27","22528","42","268","35","11","12","20","false","2411","020XX W ESTES AVE","JB249042","2","2018-05-03T22:55:00.000","AGGRAVATED: HANDGUN","024","false","04A","11304124","051A","42.011230252","POINT (-87.683313529 42.011230252)",,,"SIDEWALK",,,"-87.683313529","ASSAULT","2018-05-10T15:48:24.000","50","1160903","1947353","2018"
"4","22260","53","332","206","18","60","9","true","0321","065XX S CHAMPLAIN AVE","JB249050","42","2018-05-03T22:50:00.000","TO PROPERTY","003","false","14","11304130","1310","41.775777528","POINT (-87.609474002 41.775777528)",,,"APARTMENT",,,"-87.609474002","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","20","1181694","1861715","2018"
"45","4299","4","600","195","6","5","26","false","2533","050XX W DIVISION ST","JB249036","25","2018-05-03T22:50:00.000","TO VEHICLE","025","true","14","11304163","1320","41.902285599","POINT (-87.752531243 41.902285599)",,,"STREET",,,"-87.752531243","CRIMINAL DAMAGE","2018-05-10T15:48:24.000","37","1142361","1907518","2018"
